keyword,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,top_bid_low_idr,top_bid_high_idr
wedding string quartet,5000,0%,0%,Menengah,35,28620.95,96245.51
wedding pianist,5000,-90%,-90%,Menengah,36,15789.63,62462.33
wedding entertainment bali,50,0%,0%,Menengah,38,6797.30,62921.13
wedding ceremony musicians,5000,0%,0%,Rendah,7,17899.11,82274.88
hire string quartet for wedding,50,0%,0%,Tinggi,71,25176.07,85084.92
hire pianist for wedding,50,0%,-90%,Tinggi,77,14743.81,57892.20
piano and violin wedding,50,0%,0%,Menengah,63,18958.76,69870.65
live wedding music,500,0%,0%,Menengah,56,27415.59,115104.28
wedding bands music,5000,0%,0%,Menengah,58,34385.82,148950.27
live wedding bands,5000,0%,0%,Menengah,35,29282.62,140681.13
wedding band hire,5000,-90%,-90%,Menengah,52,48112.56,141181.10
live wedding bands near me,50,0%,-90%,Menengah,51,35775.84,214836.40
string quartet for hire,500,0%,0%,Menengah,60,27265.69,84462.65
pianist for hire near me,500,0%,-90%,Menengah,57,17768.64,80760.62
live band hire,500,0%,-90%,Tinggi,68,17713.50,85207.12
string quartet for hire near me,50,0%,0%,Tinggi,78,28931.16,81904.45
live music for wedding ceremony,500,0%,0%,Menengah,61,29106.08,111184.32
wedding quartet,500,0%,0%,Menengah,60,24054.30,84674.49
wedding pianist near me,500,0%,0%,Menengah,51,17173.40,54487.57
wedding band agency,500,0%,-90%,Menengah,63,26163.63,178859.60
pianist for hire,500,0%,0%,Menengah,56,14865.31,71565.82
best live bands for weddings,500,0%,0%,Rendah,14,24006.51,130196.71
string quartet wedding near me,50,0%,-90%,Menengah,63,27274.23,97186.55
violinist for wedding ceremony,500,0%,0%,Menengah,49,25392.91,80652.39
wedding string quartet near me,50,0%,-90%,Menengah,63,27274.23,97186.55
wedding bands music near me,50,0%,0%,Menengah,61,29671.23,131686.64
live band for wedding near me,50,0%,0%,Tinggi,73,25239.84,136611.23
wedding reception bands,500,0%,0%,Menengah,40,28630.82,111658.15
music bands for weddings near me,50,0%,0%,Menengah,39,17895.94,85624.97
string quartet for wedding near me,50,0%,0%,Tinggi,72,19652.86,62523.91
live band wedding cost,500,0%,0%,Menengah,42,17663.29,72413.67
string trio wedding music,50,0%,0%,Tinggi,71,24054.30,84007.54
string quartet wedding cost,500,0%,0%,Menengah,47,17817.47,60986.18
