keyword,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,top_bid_low_idr,top_bid_high_idr
string quartet wedding cost,500,0%,0%,Menengah,47,17817.47,60986.18
wedding pianist cost,500,0%,0%,Rendah,10,10795.16,42508.74
wedding musician cost,50,0%,0%,Rendah,18,13513.12,43763.93
string quartet cost per hour,50,0%,0%,Rendah,29,13143.75,49252.68
how much do wedding pianists charge,50,0%,0%,Rendah,4,,
destination wedding bali cost,50,0%,0%,Menengah,39,11581.70,34583.35
how much does it cost to get married in bali,50,0%,0%,Rendah,25,2034.60,20588.29
wedding in bali cost,500,0%,0%,Rendah,28,7500.88,22082.77
string quartet hire cost,50,0%,0%,Menengah,44,13550.86,48537.18
violinist for wedding cost,500,0%,900%,Menengah,47,16766.51,61201.18
cost of band for wedding,5000,0%,0%,Menengah,59,18545.15,94613.58
wedding quartet cost,50,0%,0%,Menengah,53,20570.03,58428.39
cost of live band for wedding,500,0%,0%,Menengah,42,17663.29,72413.67
string quartet cost,50,0%,0%,Menengah,38,24179.74,66815.99
harp player for wedding cost,50,0%,0%,Menengah,57,11437.61,43947.40
violinist wedding cost,50,0%,0%,Menengah,39,16581.20,40749.41
getting married in bali cost,50,0%,0%,Menengah,60,6268.35,25469.46
average cost of band for wedding,5000,0%,0%,Tinggi,95,21553.76,106908.00
wedding band hire cost,50,0%,0%,Menengah,51,14602.92,40268.68
wedding violinist prices,500,-90%,-90%,Menengah,34,12035.56,40981.40
string quartet wedding prices,50,0%,0%,Menengah,59,12159.32,47113.87
average cost of string quartet for wedding,50,0%,0%,Menengah,47,20750.88,96502.73
musicians for wedding ceremony cost,50,0%,0%,Rendah,5,,
bali wedding planner cost,50,0%,0%,Menengah,45,4619.67,51650.41
bali wedding price,50,0%,0%,Menengah,47,8032.91,26754.30
cost of a live band for wedding,500,0%,0%,Menengah,42,17663.29,72413.67
band prices for weddings,50,0%,0%,Menengah,34,21047.46,85055.83
violinist for wedding ceremony cost,500,-90%,-90%,Menengah,34,12035.56,40981.40
harpist for wedding cost,50,0%,0%,Menengah,39,7418.51,45196.68
wedding planner bali cost,50,0%,0%,Rendah,0,,
wedding venue bali price,50,0%,0%,Menengah,64,4393.92,14200.73
violin player for wedding cost,50,0%,0%,Tinggi,71,,
average cost of live band for wedding,50,0%,0%,Rendah,20,13187.44,88189.48
cello player for wedding cost,50,0%,0%,Rendah,14,,
