keyword,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,top_bid_low_idr,top_bid_high_idr
uluwatu wedding venues,500,0%,0%,Menengah,36,9560.18,42103.76
canggu wedding venues,50,0%,0%,Tinggi,80,11403.52,34711.16
seminyak wedding venues,50,0%,0%,Menengah,66,10739.59,45090.16
nusa dua wedding venues,50,0%,0%,Menengah,34,14293.67,58585.92
ubud wedding,500,0%,0%,Menengah,37,9825.79,34675.61
bali wedding venues,5000,0%,0%,Menengah,57,8028.24,30990.08
beach wedding bali,500,0%,0%,Menengah,37,8695.86,33109.50
uluwatu wedding chapel,50,-100%,-100%,Tidak diketahui,,,
bali villa wedding,500,0%,0%,Tinggi,70,8481.80,45180.35
bali wedding packages prices,50,900%,0%,Menengah,37,7488.01,26933.62
bali villa wedding packages prices,50,0%,0%,Tinggi,75,19500.54,44077.44
cheap bali wedding packages,50,0%,0%,Menengah,41,5068.62,20791.54
best bali wedding venues,500,0%,0%,Menengah,57,10084.11,37871.59
bali villa wedding packages,50,0%,0%,Menengah,47,12370.00,54801.33
places to get married in bali,50,0%,0%,Menengah,62,11581.70,27821.84
bali destination wedding packages,50,0%,0%,Rendah,19,11581.70,23163.40
bali wedding resorts,500,-90%,-90%,Tinggi,84,10026.83,41613.44
bali wedding venue packages,50,0%,0%,Tinggi,71,12827.30,39035.96
bali wedding locations,5000,0%,0%,Menengah,39,10255.65,35883.01
affordable bali wedding venues,50,0%,0%,Menengah,57,8984.69,48471.75
nusa dua bali wedding,50,900%,0%,Menengah,56,8028.83,43758.05
bali beach wedding packages,50,0%,0%,Menengah,59,7854.53,39382.31
best places to get married in bali,50,0%,0%,Tinggi,71,11581.70,31829.26
bali wedding destination,500,0%,0%,Menengah,36,10416.62,31254.07
phalosa villa bali,500,0%,0%,Rendah,28,5357.73,16112.12
ubud wedding packages,50,0%,0%,Menengah,62,10300.10,44061.10
private villa wedding bali,50,0%,0%,Tinggi,86,7823.97,33348.95
canggu wedding villas,50,0%,0%,Tinggi,70,11349.60,22985.22
villa anugrah bali,500,0%,-90%,Rendah,28,3534.68,31742.87
khayangan estate bali,500,0%,0%,Rendah,19,4713.79,19825.95
uluwatu wedding packages,50,0%,0%,Menengah,55,11777.95,39766.94
wedding venue bali price,50,0%,0%,Menengah,64,4393.92,14200.73
ubud wedding venues,50,0%,-90%,Menengah,59,8060.61,30946.14
bali wedding villas uluwatu,50,∞,0%,Menengah,57,,
bali wedding venues uluwatu,500,0%,0%,Menengah,36,9560.18,42103.76
best wedding villas bali,50,0%,0%,Tinggi,93,,
wedding reception bali,5000,0%,0%,Menengah,57,8028.24,30990.08
small bali wedding venues,50,0%,0%,Menengah,43,23538.20,54131.37
uluwatu wedding villas,50,0%,0%,Menengah,57,14943.01,72289.57
jeeva saba bali wedding,50,0%,-90%,Tinggi,68,3756.57,13201.61
villa phalosa bali wedding package,50,0%,0%,Menengah,40,3964.58,13423.28
villa plenilunio bali wedding price,50,0%,0%,Menengah,45,5906.97,18238.18
bali beach wedding venues,50,0%,0%,Menengah,60,10626.19,26058.29
villa plenilunio bali,5000,0%,0%,Rendah,8,4801.42,23059.09
alila ubud wedding,50,0%,0%,Rendah,26,7091.42,19188.88
alila villas uluwatu bali weddings,50,0%,0%,Rendah,16,,
bali chapel wedding,500,0%,0%,Rendah,31,4852.23,31117.69
bali chapel wedding price,50,-100%,-100%,Tidak diketahui,,,
bali glass chapel,50,0%,0%,Rendah,27,,
bali outdoor wedding venue,50,0%,0%,Rendah,32,,
bali ubud wedding,500,0%,0%,Menengah,37,9825.79,34675.61
bali venue,500,0%,0%,Menengah,45,7860.36,61834.25
bali venue wedding,5000,0%,0%,Menengah,57,8028.24,30990.08
