keyword,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,top_bid_low_idr,top_bid_high_idr
destination wedding bali,500,0%,0%,Menengah,36,10416.62,31254.07
bali elopement,500,0%,0%,Menengah,39,6283.38,26027.14
vow renewal bali,50,-90%,-90%,Menengah,36,7782.30,20083.13
bali wedding planner,500,0%,0%,Rendah,21,9630.31,60307.23
chapel wedding bali,500,0%,0%,Rendah,31,4852.23,31117.69
intimate wedding bali,500,0%,0%,Menengah,51,4675.60,18401.27
bali wedding packages,5000,0%,0%,Menengah,59,11581.70,44723.18
bali wedding,5000,0%,0%,Menengah,39,10255.65,35883.01
bali wedding venues,5000,0%,0%,Menengah,57,8028.24,30990.08
bali elopement packages,50,0%,-90%,Rendah,28,5916.36,21968.49
bali wedding packages prices,50,900%,0%,Menengah,37,7488.01,26933.62
bali wedding villas,500,0%,0%,Tinggi,70,8481.80,45180.35
cheap bali wedding packages,50,0%,0%,Menengah,41,5068.62,20791.54
ayana bali wedding,500,0%,0%,Rendah,20,3301.73,26755.15
jumeirah bali wedding,500,0%,0%,Menengah,36,5034.42,23738.46
wedding in bali cost,500,0%,0%,Rendah,28,7500.88,22082.77
bali wedding packages for two,50,0%,0%,Rendah,23,5499.10,26949.74
best bali wedding venues,500,0%,0%,Menengah,57,10084.11,37871.59
get married in bali,500,0%,0%,Menengah,49,7489.19,28978.18
all inclusive elopement packages bali,50,0%,0%,Rendah,7,,
bali villa wedding packages,50,0%,0%,Menengah,47,12370.00,54801.33
bali beach wedding,500,0%,0%,Menengah,37,8695.86,33109.50
places to get married in bali,50,0%,0%,Menengah,62,11581.70,27821.84
wedding organizer bali,5000,900%,0%,Rendah,27,5035.05,49696.88
bali destination wedding packages,50,0%,0%,Rendah,19,11581.70,23163.40
bali wedding packages 2023,0,0%,0%,Tidak diketahui,,,
bali wedding resorts,500,-90%,-90%,Tinggi,84,10026.83,41613.44
bali wedding venue packages,50,0%,0%,Tinggi,71,12827.30,39035.96
bali wedding just the two of us,50,0%,0%,Tinggi,71,,
bali destination wedding cost,50,0%,0%,Menengah,39,11581.70,34583.35
bali wedding locations,5000,0%,0%,Menengah,39,10255.65,35883.01
ritz carlton bali wedding,500,0%,0%,Rendah,24,4589.19,20404.76
affordable bali wedding venues,50,0%,0%,Menengah,57,8984.69,48471.75
bali wedding elopement packages,50,0%,0%,Menengah,46,4289.95,14971.88
nusa dua bali wedding,50,900%,0%,Menengah,56,8028.83,43758.05
married in bali,50,0%,-90%,Menengah,35,8725.90,31900.62
bali beach wedding packages,50,0%,0%,Menengah,59,7854.53,39382.31
small wedding bali,50,-90%,-90%,Rendah,24,6261.58,27306.08
best places to get married in bali,50,0%,0%,Tinggi,71,11581.70,31829.26
bali wedding reception packages,50,0%,0%,Tinggi,71,12827.30,39035.96
bali indian wedding packages,50,0%,0%,Rendah,31,11950.89,38192.74
bali hotel wedding packages,50,0%,0%,Tinggi,90,18910.74,36137.49
bali wedding planner cost,50,0%,0%,Menengah,45,4619.67,51650.41
bali wedding price,50,0%,0%,Menengah,47,8032.91,26754.30
the ritz carlton bali wedding,50,0%,0%,Rendah,19,8018.10,33332.65
indian wedding in bali,500,0%,0%,Rendah,12,10279.15,36251.79
bali wedding packages 2022,50,0%,-100%,Tidak diketahui,,,
phalosa villa bali,500,0%,0%,Rendah,28,5357.73,16112.12
private villa wedding bali,50,0%,0%,Tinggi,86,7823.97,33348.95
bali weddings 2023,0,0%,0%,Tidak diketahui,,,
villa anugrah bali,500,0%,-90%,Rendah,28,3534.68,31742.87
khayangan estate bali,500,0%,0%,Rendah,19,4713.79,19825.95
bali jungle wedding,50,0%,0%,Rendah,18,14190.38,76296.03
kempinski bali wedding,50,0%,-90%,Rendah,30,1777.76,30217.39
wedding planner bali cost,50,0%,0%,Rendah,0,,
wedding venue bali price,50,0%,0%,Menengah,64,4393.92,14200.73
cheap bali wedding,50,0%,0%,Menengah,66,7692.92,35076.16
bali elopement wedding packages,50,-90%,0%,Menengah,46,6003.04,23268.31
alila bali wedding,50,0%,0%,Rendah,17,8106.87,34694.43
bali wedding villas uluwatu,50,∞,0%,Menengah,57,,
bali vow renewal,50,0%,0%,Menengah,45,9944.81,28662.43
bali wedding venues uluwatu,500,0%,0%,Menengah,36,9560.18,42103.76
bali proposal planner,50,900%,900%,Rendah,21,4127.68,32129.63
ungasan bali wedding,50,0%,0%,Rendah,20,,
best wedding villas bali,50,0%,0%,Tinggi,93,,
wedding reception bali,5000,0%,0%,Menengah,57,8028.24,30990.08
small bali wedding venues,50,0%,0%,Menengah,43,23538.20,54131.37
bali waterfall wedding,50,0%,0%,Rendah,25,4675.60,15168.07
uluwatu bali wedding,500,0%,0%,Rendah,29,11403.52,41849.46
bali hindu wedding packages,50,0%,0%,Menengah,40,16678.50,38924.97
bali elopement planner,50,-100%,-100%,Tidak diketahui,,,
bali planner,50,0%,-90%,Menengah,37,5876.68,45246.24
jeeva saba bali wedding,50,0%,-90%,Tinggi,68,3756.57,13201.61
bali event planner,500,-90%,-90%,Menengah,58,19072.99,187592.80
six senses bali wedding,50,0%,0%,Rendah,12,3717.83,32113.10
best bali wedding planners,50,0%,0%,Menengah,54,9331.27,63695.54
clifftop wedding bali,50,0%,0%,Menengah,40,6589.43,16948.80
mulia bali wedding,50,0%,0%,Rendah,23,3248.17,36406.00
elope in bali packages,50,0%,0%,Menengah,60,6284.98,33658.88
indian wedding in bali cost,50,0%,0%,Menengah,38,9389.25,43699.62
bali elopement for two,50,0%,0%,Menengah,53,5575.00,23341.58
bali beach wedding venues,50,0%,0%,Menengah,60,10626.19,26058.29
bulgari bali wedding,50,0%,0%,Menengah,47,3720.70,22272.50
wedding in bali for two,50,0%,-100%,Tidak diketahui,,,
elopement wedding bali,50,0%,0%,Rendah,32,3173.92,18603.11
affordable bali wedding,50,0%,0%,Menengah,57,,
alila seminyak wedding,50,0%,0%,Rendah,31,4691.23,16392.56
amanda chapel bali,50,0%,0%,Rendah,21,,
amankila bali wedding,50,0%,0%,Rendah,33,4276.32,10503.43
anantara seminyak wedding,50,0%,0%,Rendah,19,,
andaz bali wedding,50,0%,0%,Menengah,52,4597.67,22403.53
apurva kempinski bali chapel,50,0%,0%,Rendah,12,,
apurva kempinski bali wedding,50,-90%,-90%,Menengah,41,4003.56,18708.72
aryaduta bali wedding,50,0%,0%,Rendah,26,,
ayana bali chapel,50,0%,0%,Rendah,3,,
ayana bali wedding price,50,0%,-90%,Rendah,24,3746.29,41705.58
bali bridal,500,0%,0%,Rendah,8,10070.64,26601.58
bali chapel,500,-90%,-90%,Rendah,18,3322.70,13740.35
bali chapel wedding price,50,-100%,-100%,Tidak diketahui,,,
bali church wedding,50,0%,0%,Rendah,13,,
bali cliff wedding,50,0%,0%,Rendah,19,7042.71,38010.07
bali clifftop wedding,50,0%,0%,Menengah,43,9940.66,53636.12
bali elopement wedding,50,0%,0%,Rendah,31,,
bali eve wedding planner,50,0%,0%,Rendah,21,7049.05,14987.34
bali for two wedding planner,50,0%,0%,Rendah,2,,
bali forest wedding,50,0%,0%,Rendah,29,,
bali gay wedding,50,0%,0%,Rendah,5,,
bali glass chapel,50,0%,0%,Rendah,27,,
bali happy wedding,50,0%,0%,Rendah,29,,
bali home wedding,50,0%,0%,Rendah,2,,
bali hotel wedding,50,0%,-90%,Menengah,51,7839.46,54189.28
bali indian wedding cost,50,0%,0%,Rendah,8,,
bali indonesia destination wedding,500,0%,0%,Menengah,36,10416.62,31254.07
bali island wedding,5000,0%,0%,Menengah,39,10255.65,35883.01
bali luxury wedding,50,0%,0%,Menengah,37,11581.70,35632.97
bali marriage packages,50,0%,0%,Menengah,61,,
bali married,50,0%,-90%,Menengah,35,8725.90,31900.62
bali outdoor wedding,50,0%,0%,Rendah,27,6233.79,12933.82
bali outdoor wedding venue,50,0%,0%,Rendah,32,,
bali pre wedding,50,0%,-90%,Rendah,20,10075.03,171191.37
bali pre wedding location,50,0%,0%,Rendah,29,,
